Localidad,UPZ,Barrio
Usaquén,Paseo de los libertadores,Canaima
Usaquén,Paseo de los libertadores,La floresta de la sabana
Usaquén,Paseo de los libertadores,Torca
Usaquén,Verbenal,Balmoral norte
Usaquén,Verbenal,Buenavista
Usaquén,Verbenal,Chaparral
Usaquén,Verbenal,El codito
Usaquén,Verbenal,El refugio de San Antonio
Usaquén,Verbenal,El verbenal
Usaquén,Verbenal,Horizontes
Usaquén,Verbenal,La estrellita
Usaquén,Verbenal,La frontera
Usaquén,Verbenal,La llanurita
Usaquén,Verbenal,Marantá
Usaquén,Verbenal,Maturín
Usaquén,Verbenal,Medellín
Usaquén,Verbenal,Mirador del norte
Usaquén,Verbenal,Nuevo horizonte
Usaquén,Verbenal,San antonio norte
Usaquén,Verbenal,Santandersito
Usaquén,Verbenal,Tibabita
Usaquén,Verbenal,Viña del mar
Usaquén,La uribe,Bosque de San Antonio
Usaquén,La uribe,El pite
Usaquén,La uribe,El redil
Usaquén,La uribe,La cita
Usaquén,La uribe,La granja norte
Usaquén,La uribe,La uribe
Usaquén,La uribe,Los naranjos
Usaquén,La uribe,San juan bosco
Usaquén,La uribe,Urbanización los laureles
Usaquén,San cristóbal norte,Ainsuca
Usaquén,San cristóbal norte,Altablanca
Usaquén,San cristóbal norte,Barrancas
Usaquén,San cristóbal norte,California
Usaquén,San cristóbal norte,Cerro norte
Usaquén,San cristóbal norte,Danubio
Usaquén,San cristóbal norte,La perla oriental
Usaquén,San cristóbal norte,Milán
Usaquén,San cristóbal norte,Pradera norte
Usaquén,San cristóbal norte,San cristóbal norte
Usaquén,San cristóbal norte,San cristóbal norte parte alta
Usaquén,San cristóbal norte,San cristóbal norte parte baja
Usaquén,San cristóbal norte,Santa teresa
Usaquén,San cristóbal norte,Torcoroma
Usaquén,San cristóbal norte,Villa nydia
Usaquén,San cristóbal norte,Villa oliva
Usaquén,Toberín,El toberín
Usaquén,Toberín,Babilonia
Usaquén,Toberín,Darandelos
Usaquén,Toberín,Estrella del norte
Usaquén,Toberín,Guanoa
Usaquén,Toberín,Jardín norte
Usaquén,Toberín,La liberia
Usaquén,Toberín,La pradera norte
Usaquén,Toberín,Las orquídeas
Usaquén,Toberín,Santa mónica
Usaquén,Toberín,Villa magdala
Usaquén,Toberín,Villas de aranjuez
Usaquén,Toberín,Villas del mediterraneo
Usaquén,Toberín,Zaragoza
Usaquén,Cedritos,Acacias
Usaquén,Cedritos,Antigua
Usaquén,Cedritos,Belmira
Usaquén,Cedritos,Bosque de pinos
Usaquén,Cedritos,Caobos salazar
Usaquén,Cedritos,Capri
Usaquén,Cedritos,Cedritos
Usaquén,Cedritos,Cedro bolívar
Usaquén,Cedritos,Cedro golf
Usaquén,Cedritos,Cedro madeira
Usaquén,Cedritos,Cedro narvaez
Usaquén,Cedritos,Cedro salazar
Usaquén,Cedritos,El contador
Usaquén,Cedritos,El rincón de las margaritas
Usaquén,Cedritos,La sonora
Usaquén,Cedritos,Las margaritas
Usaquén,Cedritos,Lisboa
Usaquén,Cedritos,Los cedros
Usaquén,Cedritos,Los cedros oriental
Usaquén,Cedritos,Nueva autopista
Usaquén,Cedritos,Nuevo country
Usaquén,Cedritos,Sierras del moral el nogal
Usaquén,Usaquén,Bella suiza
Usaquén,Usaquén,Bellavista
Usaquén,Usaquén,Bosque medina
Usaquén,Usaquén,La pañuelito
Usaquén,Usaquén,EL pedregal
Usaquén,Usaquén,Escuela de caballería I
Usaquén,Usaquén,Escuela de infantería
Usaquén,Usaquén,Francisco Miranda
Usaquén,Usaquén,Ginebra
Usaquén,Usaquén,La esperanza
Usaquén,Usaquén,La glorieta
Usaquén,Usaquén,Las delicias del Carmen
Usaquén,Usaquén,Sagrado corazón
Usaquén,Usaquén,San gabriel
Usaquén,Usaquén,Santa ana
Usaquén,Usaquén,Santa ana occidental
Usaquén,Usaquén,Santa bárbara
Usaquén,Usaquén,Santa bárbara alta
Usaquén,Usaquén,Santa bárbara oriental
Usaquén,Usaquén,unicerros
Usaquén,Usaquén,Usaquén
Usaquén,Country club,Country club
Usaquén,Country club,La calleja
Usaquén,Country club,La carolina
Usaquén,Country club,Prados del country
Usaquén,Country club,Recodo del country
Usaquén,Country club,Soatama
Usaquén,Country club,Toledo
Usaquén,Country club,Torres del country
Usaquén,Country club,Vergel del country
Usaquén,Santa bárbara,Santa bárbara occidental
Usaquén,Santa bárbara,Molinos del norte
Usaquén,Santa bárbara,Multicentro
Usaquén,Santa bárbara,Navarra
Usaquén,Santa bárbara,Rincón del chicó
Usaquén,Santa bárbara,San patricio
Usaquén,Santa bárbara,Santa bárbara
Usaquén,Santa bárbara,Santa barbara central
Usaquén,Santa bárbara,Santa bibiana
Usaquén,Santa bárbara,Santa paula
Chapinero,El refugio,Chicó reservado
Chapinero,El refugio,Bellavista
Chapinero,El refugio,Chicó alto
Chapinero,El refugio,El nogal
Chapinero,El refugio,El refugio 
Chapinero,El refugio,La cabrera
Chapinero,El refugio,Los rosales
Chapinero,El refugio,Seminario
Chapinero,El refugio,Toscana
